location_day_id,stage,query,result_count_3d,result_count_7d,timestamp
LD-2026-03-22-السلطانية (Al-Sultaniyeh),base,"(""Sultaniyeh"" OR ""Soultaniyeh"" OR ""Al-Sultaniyeh"") AND Lebanon",2,,2026-08-21T20:33:22
LD-2026-03-22-حبوش (Habbouch),base,"(""Habbouch"" OR ""Habboush"") AND Lebanon",10,,2026-08-21T20:33:27
LD-2026-03-21-زوطر الشرقية (Zawtar al-Sharqiya),base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",,,2026-08-21T20:33:53
LD-2026-03-23-الحازمية (Hazmieh),base,"(""Hazmieh"" OR ""Hazmiyeh"" OR ""Hazmiye"") AND Lebanon",10,,2026-08-21T20:34:28
LD-2026-03-23-الشهابية (Al-Shihabiyeh),base,"(""Shihabiyeh"" OR ""Chihabiyeh"" OR ""Al-Shihabiyeh"") AND Lebanon",0,0,2026-08-21T20:34:33
LD-2026-03-23-الحنية (Al-Haniyeh),base,"(""Haniyeh"" OR ""Haniye"" OR ""El-Haniyeh"") AND Lebanon",2,,2026-08-21T20:36:10
LD-2026-03-23-مجدل سلم (Majdal Selem),base,"(""Majdal Selem"" OR ""Majdal Silm"" OR ""Majdel Selm"") AND Lebanon",2,,2026-08-21T20:36:13
LD-2026-03-24-Adloun-Abu al-Aswad area,base,"(""Adloun"" OR ""Adlun"" OR ""Abu al-Aswad"" OR ""Abou el-Aswad"") AND Lebanon",10,,2026-08-21T20:37:15
LD-2026-03-24-Burj al-Shamali road,base,"(""Burj al-Shamali"" OR ""Bourj el-Chemali"" OR ""Burj Shemali"" OR ""Burj al-Chamali"") AND Lebanon",10,,2026-08-21T20:37:20
LD-2026-03-23-عيتيت (Aitit),base,"(""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon",2,,2026-08-21T20:35:34
LD-2026-03-23-عيتيت (Aitit),fallback,"(""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon AND (""residence"" OR ""airstrike"")",,,2026-08-21T20:37:50
LD-2026-03-22-الصوانة (Al-Sawwaneh),base,"(""Sawwaneh"" OR ""Sawaneh"" OR ""Al-Sawwaneh"") AND Lebanon",1,,2026-08-21T20:35:21
LD-2026-03-22-الصوانة (Al-Sawwaneh),fallback,"(""Sawwaneh"" OR ""Sawaneh"" OR ""Al-Sawwaneh"") AND Lebanon AND (""airstrike"")",,,2026-08-21T20:38:05
LD-2026-03-24-Habbouch-Nabatieh highway,base,"(""Habbouch"" OR ""Habboush"") AND Lebanon AND (motorcycle OR drone)",3,,2026-08-21T20:38:20
LD-2026-03-24-النبطية (Nabatieh city),base,"(""Nabatieh"" OR ""Nabatiyeh"") AND Lebanon AND (""northern entrance"" OR ""medics"" OR ""ambulance"" OR motorcycle)",10,,2026-08-21T20:38:32
LD-2026-03-24-حبوش (Habbouch),base,"(""Habbouch"" OR ""Habboush"") AND Lebanon",10,,2026-08-21T20:39:33
LD-2026-03-24-حلتا (Halta),base,"(""Halta"" OR ""Hilta"") AND Lebanon",10,,2026-08-21T20:39:35
LD-2026-03-24-Jbeshit-Nabatieh highway,base,"(""Jbeshit"" OR ""Jbaachit"") AND Lebanon AND (motorcycle OR drone)",,,2026-08-21T20:40:06
LD-2026-03-24-الشبريحة (Shabriha junction),base,"(""Shabriha"" OR ""Chabriha"") AND Lebanon",2,,2026-08-21T20:40:22
LD-2026-03-24-عدلون (Adloun),base,"(""Adloun"" OR ""Adlun"" OR ""Adloune"") AND Lebanon",10,,2026-08-21T20:40:23
LD-2026-03-24-صريفا (Srifa),base,"(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon",8,,2026-08-21T20:41:11
LD-2026-03-24-كونين (Kounine),base,"(""Kounine"" OR ""Kawnin"" OR ""Kaounine"") AND Lebanon",0,0,2026-08-21T20:41:15
LD-2026-03-24-سلعا (Sal'a),base,"(""Sal'a"" OR ""Salaa"" OR ""Sala'a"") AND Lebanon",,,2026-08-21T20:41:52
LD-2026-03-24-محرونة (Mahrouneh),base,"(""Mahrouneh"" OR ""Mahrouna"") AND Lebanon",1,,2026-08-21T20:42:15
LD-2026-03-25-Zawtar al-Sharqiya/al-Gharbiya area,base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar al-Gharbiya"" OR ""Zoutar el-Gharbiyeh"" OR ""Zawtar East"" OR ""Zawtar West"") AND Lebanon",3,,2026-08-21T20:42:18
LD-2026-03-24-كفرتبنيت (Kfartebnit),base,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon",,,2026-08-21T20:42:40
LD-2026-03-25-البيسارية (Beisariyeh),base,"(""Beisariyeh"" OR ""Bissariyeh"" OR ""Baysariyeh"") AND Lebanon",0,0,2026-08-21T20:43:20
LD-2026-03-25-حاروف (Haroof),base,"(""Haroof"" OR ""Haruf"" OR ""Harouf"") AND Lebanon",6,,2026-08-21T20:43:22
LD-2026-03-24-مخيم المية ومية (Mieh Mieh camp),base,"(""Mieh Mieh"" OR ""Miyeh Miyeh"" OR ""Miye Miye"") AND Lebanon",,,2026-08-21T20:44:09
LD-2026-03-26-بنت جبيل (Bint Jbeil),base,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon",10,,2026-08-21T20:44:10
LD-2026-03-26-كفررمان (Kfarremen),base,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon",3,,2026-08-21T20:44:14
LD-2026-03-25-باتوليه (Batouliyeh),base,"(""Batouliyeh"" OR ""Batoulieh"") AND Lebanon",,,2026-08-21T20:44:57
LD-2026-03-27-Kfartebnit-Arnoun-Nabatieh roundabout,base,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Arnoun"" OR ""Arnoune"") AND Lebanon AND (""Islamic Health"" OR medics OR responder)",2,,2026-08-21T20:45:15
LD-2026-03-27-السكسكية (Al-Suksukiyeh),base,"(""Suksukiyeh"" OR ""Siksikiyeh"" OR ""Al-Suksukiyeh"") AND Lebanon",0,0,2026-08-21T20:45:18
LD-2026-03-25-كونين (Kounine),base,"(""Kounine"" OR ""Kawnin"" OR ""Kaounine"") AND Lebanon",,,2026-08-21T20:45:40
LD-2026-03-27-الصرفند (Al-Sarafand),base,"(""Sarafand"" OR ""Sarafend"" OR ""Al-Sarafand"") AND Lebanon",3,,2026-08-21T20:46:19
LD-2026-03-27-زوطر الشرقية (Zawtar al-Sharqiya),base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",1,,2026-08-21T20:46:24
LD-2026-03-27-زوطر الشرقية (Zawtar al-Sharqiya),fallback,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon AND (""residence"" OR ""airstrike"")",1,,2026-08-21T20:47:23
LD-2026-03-27-تحويطة الغدير (Tahwitat al-Ghadir),base,"(""Tahwitat al-Ghadir"" OR ""Tahouitat al-Ghadir"" OR ""Tahwitet el-Ghadir"") AND Lebanon",,,2026-08-21T20:47:57
LD-2026-03-27-البزالية (Bzaaliyeh),base,"(""Bzaaliyeh"" OR ""Bzaalieh"" OR ""Bzalieh"") AND Lebanon",0,0,2026-08-21T20:47:57
LD-2026-03-28-Al-Awainat (between Rmeish and Debel),base,"(""Rmeish"" OR ""Rmaich"" OR ""Debel"" OR ""Deble"" OR ""Dibl"" OR ""Awainat"") AND Lebanon",10,,2026-08-21T20:48:24
LD-2026-03-28-الحنية (Al-Haniyeh),base,"(""Haniyeh"" OR ""Haniye"" OR ""El-Haniyeh"") AND Lebanon",2,,2026-08-21T20:48:26
LD-2026-03-28-العيشية (Al-Eishiyeh),base,"(""Eishiyeh"" OR ""Aychiyeh"" OR ""Al-Eishiyeh"") AND Lebanon",0,0,2026-08-21T20:49:30
LD-2026-03-28-جويا (Joya),base,"(""Joya"" OR ""Jouaiya"" OR ""Jwaya"") AND Lebanon",2,,2026-08-21T20:49:31
LD-2026-03-28-Kfartebnit (Kawthar school road),base,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon",5,,2026-08-21T20:50:13
LD-2026-03-28-Zawtar al-Sharqiya road,base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",0,0,2026-08-21T20:50:58
LD-2026-03-28-دير الزهراني (Deir al-Zahrani),base,"(""Deir al-Zahrani"" OR ""Deir ez-Zahrani"") AND Lebanon",10,,2026-08-21T20:51:15
LD-2026-03-28-معركة (Maaraka),base,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon",0,2,2026-08-21T20:51:20
LD-2026-03-28-حداثا (Hidatha),base,"(""Hidatha"" OR ""Hidata"") AND Lebanon",,,2026-08-21T20:51:48
LD-2026-03-29-بنت جبيل (Bint Jbeil city),base,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon",10,,2026-08-21T20:52:21
LD-2026-03-29-جويا (Joya),base,"(""Joya"" OR ""Jouaiya"" OR ""Jwaya"") AND Lebanon",2,,2026-08-21T20:52:23
LD-2026-03-28-كفرتبنيت (Kfartebnit),base,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon",5,,2026-08-21T20:53:15
LD-2026-03-29-بنت جبيل (Bint Jbeil),base,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon",,,2026-08-21T20:54:04
LD-2026-03-29-عبا (Aaba),base,"(""Aaba"" OR ""Ebba"" OR ""Aabba"") AND Lebanon",2,,2026-08-21T20:53:17
LD-2026-03-29-عبا (Aaba),fallback,"(""Aaba"" OR ""Ebba"" OR ""Aabba"") AND Lebanon AND (""residence"" OR ""airstrike"")",0,0,2026-08-21T20:54:18
"LD-2026-03-30-الرحاب (Al-Rihab, Beirut southern suburb)",base,"(""Rihab"" OR ""Rehab"" OR ""Al-Rihab"") AND Lebanon",1,,2026-08-21T20:54:19
LD-2026-03-29-شقرا (Shaqra),base,"(""Shaqra"" OR ""Chaqra"" OR ""Shakra"") AND Lebanon",,,2026-08-21T20:54:41
LD-2026-03-30-الشهابية (Al-Shihabiyeh),base,"(""Shihabiyeh"" OR ""Chihabiyeh"" OR ""Al-Shihabiyeh"") AND Lebanon",0,0,2026-08-21T20:55:23
LD-2026-03-30-بنت جبيل (Bint Jbeil city),base,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon",10,,2026-08-21T20:55:24
LD-2026-03-30-حناويه (Hanawiyeh),base,"(""Hanawiyeh"" OR ""Hanawiye"") AND Lebanon",0,0,2026-08-21T20:56:26
LD-2026-03-30-برعشيت (Bar'ashit),base,"(""Bar'ashit"" OR ""Baraachit"" OR ""Bir'ashit"") AND Lebanon",,,2026-08-21T20:56:57
LD-2026-03-30-Al-Aamriyeh checkpoint (Qlaile-Tyre road),base,"(""Aamriyeh"" OR ""Al-Aamriyeh"" OR ""Qlaile"" OR ""Qlayle"" OR ""Kleileh"") AND Lebanon",0,0,2026-08-21T20:57:05
LD-2026-03-31-Ain al-Mazraab road (Tibnine),base,"(""Tibnine"" OR ""Tebnine"" OR ""Tibnin"" OR ""Ain al-Mazraab"") AND Lebanon",0,3,2026-08-21T20:57:28
LD-2026-03-31-جبشيت (Jbeshit),base,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",0,0,2026-08-21T20:57:30
LD-2026-03-31-دير كيفا (Deir Kifa),base,"(""Deir Kifa"" OR ""Dayr Kifa"") AND Lebanon",1,,2026-08-21T20:58:31
LD-2026-03-31-النجارية (Najariyeh),base,"(""Najariyeh"" OR ""Nejariyeh"" OR ""Al-Najariyeh"") AND Lebanon",0,0,2026-08-21T20:59:06
LD-2026-03-31-القاسمية (Qasimiyeh),base,"(""Qasimiyeh"" OR ""Kasmieh"" OR ""Al-Qasimiyeh"") AND Lebanon",1,,2026-08-21T20:59:14
LD-2026-03-31-كفرا (Kfarra),base,"(""Kfarra"" OR ""Kfar Raa"") AND Lebanon",0,0,2026-08-21T20:59:17
LD-2026-03-31-صريفا (Srifa),base,"(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon",3,,2026-08-21T21:00:34
LD-2026-03-31-عبا (Aaba),base,"(""Aaba"" OR ""Ebba"" OR ""Aabba"") AND Lebanon",2,,2026-08-21T21:00:11
LD-2026-03-31-عبا (Aaba),fallback,"(""Aaba"" OR ""Ebba"" OR ""Aabba"") AND Lebanon AND (""residence"" OR ""airstrike"")",0,0,2026-08-21T21:02:07
LD-2026-03-05-لبايا (Libaya),base,"(""Libaya"" OR ""Lebaya"") AND Lebanon",0,0,2026-08-21T21:03:33
LD-2026-03-06-الدوير (Al-Dawir),base,"(""Dawir"" OR ""Douair"" OR ""Ed-Doueir"" OR ""Al-Dawir"") AND Lebanon",1,,2026-08-21T21:03:34
LD-2026-03-06-تول (Toul),base,"(""Toul"" OR ""Tul"") AND Lebanon",2,,2026-08-21T21:04:37
LD-2026-03-06-قلاويه (Qalawiyeh),base,"(""Qalawiyeh"" OR ""Qalaouiye"" OR ""Kalawiye"") AND Lebanon",0,0,2026-08-21T21:04:40
LD-2026-03-06-مجدل سلم (Majdal Selem),base,"(""Majdal Selem"" OR ""Majdal Silm"" OR ""Majdel Selm"") AND Lebanon",8,,2026-08-21T21:05:41
LD-2026-03-07-زوطر الشرقية (Zawtar al-Sharqiya),base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",2,,2026-08-21T21:05:43
LD-2026-03-07-شمسطار (Shamsatar),base,"(""Shamsatar"" OR ""Chamsatar"" OR ""Shamstar"") AND Lebanon",0,0,2026-08-21T21:06:45
LD-2026-03-08-بريتال (Britel),base,"(""Britel"" OR ""Britell"" OR ""Brital"") AND Lebanon",1,,2026-08-21T21:06:46
LD-2026-03-09-Beit Yahoun-Tibnine road,base,"(""Beit Yahoun"" OR ""Beit Yahoune"" OR ""Tibnine"" OR ""Tebnine"") AND Lebanon",5,,2026-08-21T21:07:48
LD-2026-03-09-القليعة (Qlaya),base,"(""Qlaya"" OR ""Klaiaa"" OR ""Kleiaa"") AND Lebanon",0,0,2026-08-21T21:07:51
LD-2026-03-09-النميرية (Al-Nmeiriyeh),base,"(""Nmeiriyeh"" OR ""Numeiriyeh"" OR ""Al-Nmeiriyeh"") AND Lebanon",0,0,2026-08-21T21:08:53
LD-2026-03-09-شبعا (Shebaa),base,"(""Shebaa"" OR ""Chebaa"" OR ""Shabaa"") AND Lebanon",1,,2026-08-21T21:08:55
LD-2026-03-10-الحوش (Al-Hosh),base,"(""Hosh"" OR ""El-Hosh"" OR ""Al-Hosh"") AND Lebanon",0,0,2026-08-21T21:09:57
LD-2026-03-10-زوطر الشرقية (Zawtar al-Sharqiya),base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",1,,2026-08-21T21:09:58
LD-2026-03-11-شعت (Chaat),base,"(""Chaat"" OR ""Shaat"" OR ""Chaath"") AND Lebanon",0,0,2026-08-21T21:11:02
LD-2026-03-12-الحدث (Hadath),base,"(""Hadath"" OR ""Hadeth"" OR ""Al-Hadath"") AND Lebanon",10,,2026-08-21T21:11:03
LD-2026-03-12-عين ابل (Ain Ebel),base,"(""Ain Ebel"" OR ""Ain Ebl"" OR ""Ain Aabel"") AND Lebanon",10,,2026-08-21T21:12:05
LD-2026-03-12-عين ابل (Ain Ebel),fallback,"(""Ain Ebel"" OR ""Ain Ebl"" OR ""Ain Aabel"") AND Lebanon AND (""airstrike"")",0,0,2026-08-21T21:13:06
LD-2026-03-13-Kfartebnit-Arnoun road,base,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Arnoun"" OR ""Arnoune"") AND Lebanon",3,,2026-08-21T21:13:07
LD-2026-03-13-بر الياس (Bar Elias),base,"(""Bar Elias"" OR ""Baar Elias"") AND Lebanon",10,,2026-08-21T21:14:09
LD-2026-03-13-عبا (Aaba),base,"(""Aaba"" OR ""Ebba"" OR ""Aabba"") AND Lebanon",1,,2026-08-21T21:14:11
LD-2026-03-13-عبا (Aaba),fallback,"(""Aaba"" OR ""Ebba"" OR ""Aabba"") AND Lebanon AND (""airstrike"" OR ""residence"")",1,,2026-08-21T21:14:12
LD-2026-03-14-ميفدون (Meifadoun),base,"(""Meifadoun"" OR ""Meifdoun"" OR ""Meifadoune"") AND Lebanon",0,0,2026-08-21T21:15:14
LD-2026-03-15-الشرحبيل (Sharhabil),base,"(""Sharhabil"" OR ""Charhabil"") AND Lebanon",2,,2026-08-21T21:15:16
LD-2026-03-15-الشرحبيل (Sharhabil),fallback,"(""Sharhabil"" OR ""Charhabil"") AND Lebanon AND (""apartment"" OR ""airstrike"")",2,,2026-08-21T21:16:15
LD-2026-03-16-القنطرة (Qantara),base,"(""Qantara"" OR ""Kantara"" OR ""Al-Qantara"") AND Lebanon",10,,2026-08-21T21:16:17
LD-2026-03-16-كفرصير (Kfarsir),base,"(""Kfarsir"" OR ""Kfar Sir"") AND Lebanon",10,,2026-08-21T21:17:20
LD-2026-03-18-قناريت (Qanaryet),base,"(""Qanaryet"" OR ""Kanariyet"") AND Lebanon",0,0,2026-08-21T21:17:24
LD-2026-03-21-زوطر الشرقية (Zawtar al-Sharqiya),base,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",0,2,2026-08-21T21:18:26
LD-2026-03-24-Jbeshit-Nabatieh highway,base,"(""Jbeshit"" OR ""Jbaachit"") AND Lebanon AND (motorcycle OR drone)",0,0,2026-08-21T21:18:28
LD-2026-03-24-سلعا (Sal'a),base,"(""Sal'a"" OR ""Salaa"" OR ""Sala'a"") AND Lebanon",3,,2026-08-21T21:19:29
LD-2026-03-24-كفرتبنيت (Kfartebnit),base,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon",3,,2026-08-21T21:19:32
LD-2026-03-24-مخيم المية ومية (Mieh Mieh camp),base,"(""Mieh Mieh"" OR ""Miyeh Miyeh"" OR ""Miye Miye"") AND Lebanon",10,,2026-08-21T21:20:34
LD-2026-03-25-باتوليه (Batouliyeh),base,"(""Batouliyeh"" OR ""Batoulieh"") AND Lebanon",1,,2026-08-21T21:20:37
LD-2026-03-25-باتوليه (Batouliyeh),fallback,"(""Batouliyeh"" OR ""Batoulieh"") AND Lebanon AND (""airstrike"" OR ""residence"")",0,0,2026-08-21T21:21:39
LD-2026-03-25-كونين (Kounine),base,"(""Kounine"" OR ""Kawnin"" OR ""Kaounine"") AND Lebanon",0,0,2026-08-21T21:21:41
LD-2026-03-27-تحويطة الغدير (Tahwitat al-Ghadir),base,"(""Tahwitat al-Ghadir"" OR ""Tahouitat al-Ghadir"" OR ""Tahwitet el-Ghadir"") AND Lebanon",3,,2026-08-21T21:22:42
LD-2026-03-28-حداثا (Hidatha),base,"(""Hidatha"" OR ""Hidata"") AND Lebanon",0,0,2026-08-21T21:22:45
LD-2026-03-29-بنت جبيل (Bint Jbeil),base,"(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon",10,,2026-08-21T21:23:46
LD-2026-03-29-شقرا (Shaqra),base,"(""Shaqra"" OR ""Chaqra"" OR ""Shakra"") AND Lebanon",3,,2026-08-21T21:23:49
LD-2026-03-29-شقرا (Shaqra),fallback,"(""Shaqra"" OR ""Chaqra"" OR ""Shakra"") AND Lebanon AND (""airstrike"")",1,,2026-08-21T21:24:49
LD-2026-03-30-برعشيت (Bar'ashit),base,"(""Bar'ashit"" OR ""Baraachit"" OR ""Bir'ashit"") AND Lebanon",2,,2026-08-21T21:24:50
