article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
418874,1,,2026-03-09,night,النميرية - حي الغبرة,النميرية (Al-Nmeiriyeh),Nabatieh,Nabatieh,6,0,airstrike,residence,preliminary,0,0,"Hamdan family; event_date corrected from Mar 10 (publish date) to Mar 9 per explicit 'الليلة الماضية' (last night) text - validation audit fix; possible overlap with 418802 (same corrected date), kept separate pending user review; update/final in 418963 (8)"
418962,1,,2026-03-10,,القليلة,القليلة (Qlaile),Tyre,South Lebanon,2,0,drone strike,vehicle,preliminary,0,0,"distinct from the March 3 Qlaile strike (417496, batch 1) - different date"
418963,1,,2026-03-09,,النميرية,النميرية (Al-Nmeiriyeh),Nabatieh,Nabatieh,8,0,airstrike,residence,final,0,0,"event_date corrected from Mar 10 to Mar 9 (same fix as 418874 - validation audit); update to 418874 Hamdan-family chain (6->8, one victim died of wounds in hospital)"
419044,1,,2026-03-10,,كفرجوز,كفرجوز (Kfarjouz),Nabatieh,Nabatieh,1,0,airstrike,residence,preliminary,0,0,named: Haj Ayad Jaber
419068,1,,2026-03-10,,جويا,جويا (Joya),Tyre,South Lebanon,2,0,airstrike,unspecified,preliminary,0,0,"named: mayor Fawzi Fawaz + council member Abbas al-Baalbaki; a NEW/later strike on Joya after the 418675 'final' toll (7) - likely additive, flag for merge review"
419080,1,,2026-03-10,evening,قلاويه,قلاويه (Qalawiyeh),Bint Jbeil,Nabatieh,4,0,airstrike,unspecified,preliminary,0,0,this article explicitly states Qalawiyeh is in Bint Jbeil district - CORRECTS my earlier district assignment for 418036/418038 (batch 2) which I'd guessed as Nabatieh district; those should be corrected to Bint Jbeil. Distinct date/incident from the March 6 Qalawiyeh strike
419088,1,,2026-03-10,evening,زوطر الشرقية,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,distinct date from the March 3 Zawtar al-Sharqiya family (417534) - separate incident
419092,1,,2026-03-10,,الأوزاعي,الأوزاعي (Ouzai),Baabda,Mount Lebanon,1,0,airstrike,motorcycle,preliminary,0,0,
419096,0,"Municipal-union condolence/eulogy statement for the already-reported Joya mayor deaths (419068, batch 3) - commemorative, not a new incident",,,,,,,,,,,,,,
419097,1,,2026-03-10,,حناويه,حناويه (Hanawiyeh),Tyre,South Lebanon,3,2,double-tap airstrike,2 civilians + 1 responding medic (explicitly identified),preliminary,0,0,second strike hit medic responding to first strike's casualties
419102,1,,2026-03-10,,الحوش - صور,الحوش (Al-Hosh),Tyre,South Lebanon,1,8,airstrike,unspecified,preliminary,0,0,
419103,1,,2026-03-10,,قانا,قانا (Qana),Tyre,South Lebanon,5,5,airstrike,multiple consecutive strikes,preliminary,0,0,"distinct date from the March 8 Qana strike (418290, batch 2) - separate incident"
419104,1,,2026-03-11,,زلايا - البقاع الغربي,زلايا (Zalaya),West Bekaa,Bekaa,1,2,airstrike,unspecified,preliminary,0,0,
419129,1,,2026-03-11,after midnight,الشرقية,الشرقية (Sharqiya - village),Nabatieh,Nabatieh,3,0,airstrike,residence,preliminary,0,0,"named: Jihad Shoeib, Hussein Hassan Shoeib, Mahdi Hussein Shoeib (same family); distinct date from 418413's earlier Sharqiya mention - separate incident, though repeated pattern (3 dead, Sharqiya) worth double-checking isn't a reporting duplicate"
419129b,1,,2026-03-11,,كفرتبنيت,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,1,0,airstrike,"medic, Islamic Health Authority (explicitly identified)",preliminary,0,0,same source article as 419129; named: Mohammad Kajak - split into own row (different town). Article also mentions Jbeshit/Arabsalim/Zawtar al-Sharqiya strikes w/ no deaths given here
419151,1,,2026-03-11,,النبطية - شارع محمود فقيه,النبطية (Nabatieh city),Nabatieh,Nabatieh,1,0,drone strike,unspecified,preliminary,0,0,
419155,1,,2026-03-11,,تمنين التحتا,تمنين التحتا (Tamnin al-Tahta),Baalbek,Baalbek-Hermel,10,5,airstrike,residence (Syrian family),preliminary,0,0,"initial correspondent estimate; MoPH counts fluctuate in chain (419171: 7, 419415 final: 8) - flag for merge review, use 8 (final)"
419162,1,,2026-03-11,morning,بنت جبيل - صف الهوا,بنت جبيل (Bint Jbeil - Saf al-Hawa area),Bint Jbeil,Nabatieh,3,0,drone strike,SUV,preliminary,0,0,"article also covers Bar'ashit (2 Syrians injured, no death) and Tibnine (injuries only, no death) strikes"
419171,1,,2026-03-11,morning,تمنين التحتا,تمنين التحتا (Tamnin al-Tahta),Baalbek,Baalbek-Hermel,7,18,airstrike,residence (Syrian family),preliminary,0,0,"MoPH update to 419155 chain (10->7, later finalized at 8 in 419415); article also gives Ali al-Nahri: 5 injured, no deaths"
419173,1,,2026-03-11,,الشهابية,الشهابية (Al-Shihabiyeh),Tyre,South Lebanon,7,11,airstrike,unspecified,preliminary,0,0,
419176,1,,2026-03-11,dawn,بنت جبيل (مدينة),بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,distinct from the same-day Saf al-Hawa SUV strike (419162) - different target/time
419227,1,,2026-03-11,,شقرا,شقرا (Shaqra),Nabatieh,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,first dead-toll report for Shaqra (earlier 418038 mention had no deaths)
419261,1,,2026-03-11,noon,بين حبوش وعربصاليم,Habbouch-Arabsalim area,Nabatieh,Nabatieh,2,0,drone strike,unspecified,preliminary,1,0,"area between two towns, not a single town"
419344,1,,2026-03-11,,تبنين,تبنين (Tibnine),Bint Jbeil,Nabatieh,5,0,airstrike,building sheltering displaced families,preliminary,0,1,"5 from Al-Hanini family + unspecified additional from a displaced Maroun al-Ras family - total ambiguous, see update 419346 (8); THIRD distinct Tibnine incident this study period (after 418509 Mar8, 418806 Mar9)"
419344b,1,,2026-03-11,,برعشيت,برعشيت (Bar'ashit),Bint Jbeil,Nabatieh,1,0,drone strike,unspecified,preliminary,0,0,same source article as 419344; split into own row (different town). Article also mentions Kafra/Hariss strikes w/ no deaths
419345,1,,2026-03-11,,مفرق معركة - صور,معركة (Maaraka junction),Tyre,South Lebanon,1,14,airstrike,4-story building,preliminary,0,0,update in 419417 (2 bodies recovered)
419346,1,,2026-03-11,,تبنين,تبنين (Tibnine),Bint Jbeil,Nabatieh,8,0,airstrike,building sheltering displaced families,preliminary,0,0,MoPH update to 419344 chain
419347,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
419357,1,,2026-03-11,,شعت,شعت (Chaat),Baalbek,Baalbek-Hermel,3,0,airstrike,residence (2 families),preliminary,0,0,"initial estimate; jumps sharply to 8 in update 419395/419416 - flag heavily for merge review, use 8 (later, more detailed w/ named family)"
419365,1,,2026-03-11,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,2,2,airstrike,unspecified,preliminary,0,0,"chain has repeated conflicting counts across same day (419377: 3, 419425 MoPH: 2, plus 419500's separate 1-dead car strike) - flag heavily for merge review"
419371,1,,2026-03-11,,برج الشمالي,برج الشمالي (Burj al-Shamali),Tyre,South Lebanon,6,0,airstrike,unspecified,preliminary,0,1,injury count unspecified; named family detailed in update 419419; MoPH update 419424 gives lower count (4) - flag discrepancy
419377,1,,2026-03-11,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,3,3,airstrike,unspecified,preliminary,0,0,update to 419365 chain
419395,1,,2026-03-11,,شعت,شعت (Chaat),Baalbek,Baalbek-Hermel,8,3,airstrike,residence,final,0,0,"named: Tahhan family; major update to 419357 chain (3->8), described as a massacre"
419415,1,,2026-03-11,,تمنين التحتا,تمنين التحتا (Tamnin al-Tahta),Baalbek,Baalbek-Hermel,8,17,airstrike,residence (Syrian family),final,0,0,"FINAL MoPH toll, supersedes 419155/419171 chain"
419416,1,,2026-03-11,,شعث,شعت (Chaat),Baalbek,Baalbek-Hermel,8,3,airstrike,residence,final,0,0,MoPH confirmation matching 419395 - do not double count
419417,1,,2026-03-11,,مفرق معركة - صور,معركة (Maaraka junction),Tyre,South Lebanon,2,,airstrike,4-story building,preliminary,0,0,"update to 419345 chain (bodies recovered), search continuing"
419419,1,,2026-03-11,,برج الشمالي,برج الشمالي (Burj al-Shamali),Tyre,South Lebanon,4,0,airstrike,residence,preliminary,0,0,"named: mother Fatima Awadeh + 3 sons (Sadr, Hussein, Fadi Zalghout); detail/update to 419371 chain, not additive"
419424,1,,2026-03-11,,برج الشمالي,برج الشمالي (Burj al-Shamali),Tyre,South Lebanon,4,9,airstrike,residence,preliminary,0,0,"MoPH update to 419371 chain - lower than initial 6 estimate, flag discrepancy"
419425,1,,2026-03-11,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,2,6,airstrike,unspecified,preliminary,0,0,MoPH update to Deir Antar chain - district confirmed as Bint Jbeil here
419427,1,,2026-03-11,night,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,,,strike on vehicle,car,preliminary,0,1,"death count vague ('martyrs and wounded'), no figure given; chain continues in 419429 (7), 419457 (8), 419588 final (12)"
419429,1,,2026-03-12,,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,7,21,strike on vehicle,car,preliminary,0,0,MoPH update to 419427 chain
419457,1,,2026-03-12,,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,8,31,strike on vehicle,car,preliminary,0,0,update to 419427/419429 chain
419458,1,,2026-03-12,,عرمون,عرمون (Aramoun),Aley,Mount Lebanon,3,1,airstrike,unspecified,preliminary,0,0,"distinct date from the March 2 Aramoun/Saadiyat incident (417154/417202, batch 1); chain continues in 419535 (names photographer) and 419588 final (5)"
419499,1,,2026-03-12,,باريش,باريش (Barish),Tyre,South Lebanon,3,0,airstrike,unspecified,preliminary,0,0,"named: Khodr Abbas, Ahmad Abbas, Shafiq Rmeiti"
419500,1,,2026-03-12,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,1,0,drone strike,vehicle,preliminary,0,0,"possibly additional to, or already reflected within, the same-town multi-report chain from the prior day - flag for merge review"
419535,1,,2026-03-12,,عرمون,عرمون (Aramoun),Aley,Mount Lebanon,2,0,airstrike,unspecified,preliminary,0,0,"named: photographer/director Mohammad Shehab + young daughter; update/detail to 419458 chain, not additive"
419588,1,,2026-03-12,,عرمون,عرمون (Aramoun),Aley,Mount Lebanon,5,7,airstrike,unspecified,final,0,0,"FINAL MoPH toll for Aramoun, supersedes 419458/419535 chain"
419588b,1,,2026-03-12,,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,12,28,strike on vehicle,car,final,0,0,"same source article as 419588; FINAL MoPH toll for Ramlet al-Baida - split into own row (different town), supersedes 419427/419429/419457"
419598,1,,2026-03-12,,أركي,أركي (Arki),Sidon,South Lebanon,9,7,airstrike,unspecified,preliminary,0,0,
419610,1,,2026-03-12,,الحدث - كلية العلوم,الحدث (Hadath),Baabda,Mount Lebanon,2,0,drone strike,university faculty building,preliminary,0,0,"named: Dr. Hussein Bazzi (faculty dean) + Dr. Mortada Sorour (professor), both explicitly identified by occupation"
419622,1,,2026-03-12,,بنت جبيل,بنت جبيل (Bint Jbeil),Bint Jbeil,Nabatieh,3,0,strike on vehicle,car,preliminary,0,0,
419643,1,,2026-03-12,,عين ابل,عين ابل (Ain Ebel),Bint Jbeil,Nabatieh,3,0,airstrike,named workers installing a satellite dish,preliminary,0,0,"named: George Khreish, Elie Attallah, Shadi Ammar; update/confirmation in 419692"
419666,1,,2026-03-12,afternoon,أركي,أركي (Arki),Sidon,South Lebanon,9,0,airstrike,residence,preliminary,0,0,5 of 9 dead are children; municipal condolence statement functions as the primary report here (first mention of this specific toll); confirmed in 419685
419673,1,,2026-03-12,,مفرق معركة البص - صور,معركة البص (Maaraka al-Bass junction),Tyre,South Lebanon,2,,airstrike,unspecified,preliminary,0,0,"second victim died of wounds, raising total to 2; the initial (first) death from this strike was not itself in the keyword-filtered candidate set"
419685,1,,2026-03-12,,أركي,أركي (Arki),Sidon,South Lebanon,9,7,airstrike,residence,final,0,0,"MoPH confirmation of 419666 (title says 'final', body says 'preliminary' - internal inconsistency, note for merge)"
419692,1,,2026-03-12,,عين ابل,عين ابل (Ain Ebel),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,MoPH update/confirmation of 419643 chain
419692b,1,,2026-03-12,,باريش,باريش (Barish),Tyre,South Lebanon,3,0,airstrike,unspecified,preliminary,0,0,"same source article as 419692; likely same-day MoPH confirmation of 419499 (batch 4) - do not double count, split into own row (different town)"
419699,1,,2026-03-13,,الجناح,الجناح (Jnah),Beirut,Beirut,1,0,strike on vehicle,car,preliminary,0,0,
419700,1,,2026-03-13,,عبا,عبا (Aaba),Nabatieh,Nabatieh,1,1,airstrike,residence,preliminary,0,0,named: Ataf Moallem Sabra
419721,1,,2026-03-13,,طريق الشعيتية,طريق الشعيتية (Al-Shaitiyeh road),Tyre,South Lebanon,1,0,drone strike,vehicle,preliminary,0,0,
419722,1,,2026-03-13,morning,بر الياس - البقاع الأوسط,بر الياس (Bar Elias),Zahle,Bekaa,2,3,airstrike,apartment (targeted an Islamic Group official),preliminary,0,0,"named: sons Abdul Rahman and Mosaab al-Dahouk; the targeted official Youssef al-Dahouk (explicitly ID'd as Islamic Group official) survived, critically injured"
419730,1,,2026-03-12,night (prior),النبطية الفوقا,النبطية الفوقا (Nabatieh al-Fawqa),Nabatieh,Nabatieh,1,0,airstrike,residence (sheikh's home),preliminary,0,0,"event_date corrected from Mar 13 (publish date) to Mar 12 per explicit 'الليلة الماضية' (last night) text - validation audit fix; named: Sheikh Hassan Ghandour, died of wounds; article also covers Al-Dawir (3 strikes, no deaths given) and Sir al-Gharbiyeh/Kfarsir/Aaba strikes w/ no deaths"
419742,0,No confirmed death - only injuries confirmed by residents; search ongoing for possible additional casualties at the site,,,,,,,,,,,,,,
419753,1,,2026-03-13,,أطراف شبعا,شبعا (Shebaa - outskirts),Hasbaya,Nabatieh,2,0,drone strike,unspecified,preliminary,0,0,"named: Mahmoud Akrama Nassif, Hadi Mohammad Kaanan"
419805,1,,2026-03-13,,الفوار - صيدا,الفوار (Al-Fawwar),Sidon,South Lebanon,8,9,airstrike,unspecified,preliminary,0,0,
419817,1,,2026-03-13,noon,طريق كفرتبنيت - أرنون,Kfartebnit-Arnoun road,Nabatieh,Nabatieh,1,0,drone strike,motorcycle,preliminary,1,0,
419833,1,,2026-03-13,,ياطر,ياطر (Yatar),Bint Jbeil,Nabatieh,1,0,airstrike,unspecified,preliminary,0,0,"named: Hassan Youssef Sweidan; district uncertain, verify"
419926,1,,2026-03-13,,الغازية - قرب مدرسة السفير,الغازية (Ghazieh),Sidon,South Lebanon,2,0,airstrike,building,preliminary,0,0,"2 children; distinct from the March 8 Ghazieh strike (418372/418515, batch 3) - different date/incident"
419931,1,,2026-03-13,,الصوانة,الصوانة (Al-Sawwaneh),Tyre,South Lebanon,2,0,strike on responder team,"2 medics (Islamic Resalah Scouts + Islamic Health Authority), explicitly identified",preliminary,0,0,update/confirmation in 419957
419940,1,,2026-03-13,,بنت جبيل (مدينة),بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,third distinct Bint Jbeil city strike this study period - different date from 419176 and 419622; article also mentions a coinciding Aytaroun strike w/ no deaths given
419952,1,,2026-03-13,,النبطية - حي الراهبات,النبطية (Nabatieh city - Al-Rahibat neighborhood),Nabatieh,Nabatieh,6,0,airstrike,residence,preliminary,0,0,"named: Basma family; chain fluctuates (419969: 5, 419993: 7, 420189 final: 7) - use 7"
419957,1,,2026-03-13,,الصوانة,الصوانة (Al-Sawwaneh),Tyre,South Lebanon,2,5,strike on responder team,joint Islamic Resalah Scouts / Islamic Health Authority post (direct strike),preliminary,0,0,MoPH confirmation of 419931 - do not double count
419969,1,,2026-03-13,,النبطية - حي الراهبات,النبطية (Nabatieh city - Al-Rahibat neighborhood),Nabatieh,Nabatieh,5,5,airstrike,residence,preliminary,0,0,MoPH update to 419952 chain - see 419993/420189 for further updates to 7 (final)
419988,1,,2026-03-13,night,برج قلاويه,برج قلاويه (Burj Qalawiyeh),Bint Jbeil,Nabatieh,1,0,airstrike,unspecified,preliminary,0,0,"named: Dr. Hisham Ismail (occupation stated); article also covers Bint Jbeil/Ainata/Aytaroun/Maroun al-Ras strikes and clashes, and Wadi al-Hujeir shelling w/ no deaths given here - likely connected to the much larger 419992 strike on the same village's health center later that night, flag for merge review"
419989,1,,2026-03-14,,تعمير حارة صيدا,حارة صيدا (Harit Saida),Sidon,South Lebanon,4,0,airstrike,apartment,preliminary,0,0,FINAL toll confirmed in 420189 (4/2 injured)
419992,1,,2026-03-14,,برج قلاويه,برج قلاويه (Burj Qalawiyeh),Bint Jbeil,Nabatieh,12,,airstrike,Islamic Health Authority center (explicit target - a medical facility),preliminary,0,0,"MAJOR strike; likely same broader incident cluster as 419988's 1-dead doctor report - flag heavily for merge review. Later context (420111) references 31 total medic deaths incl. bodies recovered from a primary health care center in this same village, consistent with this strike"
419993,1,,2026-03-13,night (prior),النبطية - حي الراهبات,النبطية (Nabatieh city - Al-Rahibat neighborhood),Nabatieh,Nabatieh,7,0,airstrike,residence,final,0,0,"named: Qais Basma + wife Baladin Jaber + children Hussein/Hassan/Abbas + infant Helen (6) + Hussein Mohammad Bitar (died of wounds, 7th); update to 419952/419969 chain; article also covers Samouqa/Tool/Arnoun/Yohmor al-Shaqif strikes+shelling w/ no deaths given here"
420086,1,,2026-03-14,dawn,النبعة - برج حمود,النبعة (Nabaa - Bourj Hammoud),Matn,Mount Lebanon,1,4,airstrike,apartment,preliminary,0,0,
420111,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
420152,1,,2026-03-14,evening,ميفدون,ميفدون (Meifadoun),Nabatieh,Nabatieh,4,0,airstrike,residence,preliminary,0,0,"named: Souli family (displaced from Tayibeh); distinct from the March 7 Meifadoun strike (418222, batch 2); update/confirmation in 420176"
420167,1,,2026-03-14,,القنطرة,القنطرة (Qantara),Marjayoun,Nabatieh,4,0,airstrike,residence,preliminary,0,0,"named: Al-Sagheer family (father, mother, 2 children)"
420176,1,,2026-03-14,,ميفدون,ميفدون (Meifadoun),Nabatieh,Nabatieh,4,5,airstrike,residence,preliminary,0,0,MoPH confirmation of 420152 - do not double count
420176b,1,,2026-03-14,,مجدل سلم,مجدل سلم (Majdal Selem),Marjayoun,Nabatieh,1,2,airstrike,unspecified,preliminary,0,0,"same source article as 420176; split into own row (different town) - distinct date from the March 6 Majdal Selem massacre (417990, batch 1) and the March 15 Majdal Selem strike (420332)"
420180,1,,2026-03-15,dawn,الشرحبيل - صيدا,الشرحبيل (Sharhabil),Sidon,South Lebanon,1,0,airstrike,apartment,preliminary,0,0,update/confirmation in 420226
420189,1,,2026-03-14,,النبطية - حي الراهبات,النبطية (Nabatieh city - Al-Rahibat neighborhood),Nabatieh,Nabatieh,7,5,airstrike,residence,final,0,0,FINAL MoPH toll for 419952/419969/419993 chain (4 of 7 are children)
420189b,1,,2026-03-14,,حارة صيدا,حارة صيدا (Harit Saida),Sidon,South Lebanon,4,2,airstrike,apartment,final,0,0,same source article as 420189; FINAL MoPH toll confirming 419989 - split into own row (different town)
420189c,1,,2026-03-14,,القطراني - جزين,القطراني (Qatrani),Jezzine,South Lebanon,3,6,airstrike,unspecified,preliminary,0,0,"same source article as 420189; first quantified report for this incident (see 420190 for the initial vague mention, 420334 for final toll) - split into own row (different town)"
420190,1,,2026-03-14,night,القطراني - جزين,القطراني (Qatrani),Jezzine,South Lebanon,,,airstrike,unspecified,preliminary,0,1,"death count vague ('martyrs and wounded'), no figure given; same incident as 420189c/420334 - do not double count"
420226,1,,2026-03-15,,الشرحبيل - صيدا,الشرحبيل (Sharhabil),Sidon,South Lebanon,1,0,airstrike,apartment,preliminary,0,0,MoPH confirmation of 420180 - do not double count; injuries revised to 3 children
420267,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
420287,1,,2026-03-15,afternoon,طريق النبطية الفوقا,طريق النبطية الفوقا (Nabatieh al-Fawqa road),Nabatieh,Nabatieh,1,0,airstrike,shop (Express),preliminary,0,0,
420332,1,,2026-03-15,,مجدل سلم,مجدل سلم (Majdal Selem),Marjayoun,Nabatieh,2,4,airstrike,unspecified,preliminary,0,0,distinct date from the March 6 (417990) and March 14 (420176b) Majdal Selem strikes
420332b,1,,2026-03-15,,عيتيت,عيتيت (Aitit),Nabatieh,Nabatieh,3,3,airstrike,unspecified,preliminary,0,0,"same source article as 420332; split into own row (different town) - distinct date from the March 8 Aitit strike (418322, batch 2)"
420334,1,,2026-03-14,night (prior),القطراني - جزين,القطراني (Qatrani),Jezzine,South Lebanon,5,6,airstrike,unspecified,final,0,0,"FINAL MoPH toll, supersedes 420189c/420190 chain (3->5)"
420377,1,,2026-03-16,,كفرصير,كفرصير (Kfarsir),Nabatieh,Nabatieh,3,1,double-tap airstrike,"1 civilian (home) + 2 medics (Islamic Health Authority, explicit)",preliminary,0,0,second strike hit the responding ambulance
420429,1,,2026-03-16,,القنطرة,القنطرة (Qantara),Marjayoun,Nabatieh,4,0,airstrike,unspecified,preliminary,0,0,"2 children; distinct date from the March 14 Qantara/Al-Sagheer-family strike (420167, batch 5)"
420508,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
420532,1,,2026-03-16,,ياطر,ياطر (Yatar),Bint Jbeil,Nabatieh,1,1,drone strike,"medic (Islamic Health Authority, explicit)",preliminary,0,0,"likely same incident as 420556 (named medic, ambulance struck) - do not double count"
420556,1,,2026-03-16,,ياطر,ياطر (Yatar),Bint Jbeil,Nabatieh,1,0,drone strike,ambulance (named medic Mohammad Jaafar),preliminary,0,0,likely same incident as 420532 - do not double count
420564,1,,2026-03-16,,مفرق معركة - قرب مستشفى جبل عامل,معركة (Maaraka junction),Tyre,South Lebanon,1,5,airstrike,apartment,preliminary,0,0,"chain continues in 420574 (final, 6 inj.) and 420575 (MoPH, 16 inj.) - injury counts vary, deaths consistent at 1"
420574,1,,2026-03-16,,مفرق معركة,معركة (Maaraka junction),Tyre,South Lebanon,1,6,airstrike,apartment,final,0,0,"final toll per Tyre district health chief, update to 420564; article also mentions a same-night Srifa strike w/ injuries but no confirmed death"
420575,1,,2026-03-16,,مفرق معركة,معركة (Maaraka junction),Tyre,South Lebanon,1,16,airstrike,apartment,preliminary,0,0,"MoPH figure, higher injury count than 420564/420574 - flag for merge review, death count consistent"
420648,1,,2026-03-17,morning,بنت جبيل (مدينة),بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,fourth distinct Bint Jbeil city strike this study period - different date
420682,1,,2026-03-17,,الجميجمة,الجميجمة (Al-Jmeijmeh),Tyre,South Lebanon,2,0,airstrike,unspecified,preliminary,0,0,article also covers ongoing artillery shelling of Zebqin/Jabal al-Botm w/ no deaths
420708,1,,2026-03-17,,قعقعية الجسر,قعقعية الجسر (Qaaqaait al-Jisr),Nabatieh,Nabatieh,1,,airstrike,"soldier (Lebanese Army, explicit)",preliminary,0,0,Army statement; follow-up to an earlier (not itself keyword-matched) report of 5 soldiers injured there; chain continues in 420801/420826
420763,1,,2026-03-17,,طريق المطار,طريق المطار (Airport Road),Baabda,Mount Lebanon,1,9,airstrike,unspecified,preliminary,0,0,"distinct date from the March 3 Airport Road strike (417491, batch 1)"
420770,1,,2026-03-17,,طريق زبدين - النبطية,Zebdine-Nabatieh road,Nabatieh,Nabatieh,2,,drone strike,"2 soldiers on a motorcycle (Lebanese Army, explicit)",preliminary,1,0,Army statement (via X/Twitter); chain continues in 420801/420826
420778,1,,2026-03-17,,بين عبا وجبشيت - قرب مدرسة التنشئة,Aaba-Jbeshit area,Nabatieh,Nabatieh,1,1,drone strike,vehicle,preliminary,1,0,article also mentions a Tool building destroyed by a separate strike w/ no deaths given
420783,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
420788,1,,2026-03-17,,السلطانية,السلطانية (Al-Sultaniyeh),Bint Jbeil,Nabatieh,1,0,strike on vehicle,car,preliminary,0,0,
420801,0,"Army eulogy identifying the 3 soldiers already reported killed in 420708 (Qaaqaait al-Jisr) and 420770 (Zebdine road) - biographical/commemorative, no new incident data",,,,,,,,,,,,,,
420805,1,,2026-03-17,,مجمع دغمان السكني - حاروف,حاروف (Haroof),Nabatieh,Nabatieh,3,,airstrike,residential complex,preliminary,0,1,"'3 so far' - recovery ongoing, count may be incomplete; referenced again (not updated) in 420918"
420810,1,,2026-03-17,,الغازية,الغازية (Ghazieh),Sidon,South Lebanon,3,5,airstrike,unspecified,preliminary,0,0,third distinct Ghazieh incident this study period - different date from March 8 and March 13 strikes
420826,0,"Army condemnation statement restating the already-known 3 KIA total (matches 420708+420770 combined) across Zebdine/Qaaqaait al-Jisr/Al-Dawir - no new deaths, policy statement not an incident report",,,,,,,,,,,,,,
420855,1,,2026-03-17,,بعلبك - رأس العين,بعلبك (Baalbek city - Ras al-Ain),Baalbek,Baalbek-Hermel,2,6,airstrike,residential building,preliminary,0,0,2 children; 3 missing; chain continues in 420869/420947 (final: 4 dead/7 injured)
420868,1,,2026-03-18,,حبوش,حبوش (Habbouch),Nabatieh,Nabatieh,3,1,airstrike,building,preliminary,0,1,"headline says '8 dead' but body says 3 dead confirmed + 8 missing (search ongoing) - internal inconsistency, use body figure"
420869,1,,2026-03-18,,بعلبك,بعلبك (Baalbek city - Ras al-Ain),Baalbek,Baalbek-Hermel,4,7,airstrike,residential building,preliminary,0,0,"MoPH update to 420855 chain, matches final in 420947"
420870,1,,2026-03-18,,جبشيت,جبشيت (Jbeshit),Nabatieh,Nabatieh,4,0,airstrike,unspecified,preliminary,0,0,4 Syrian nationals; distinct date from earlier Jbeshit incidents
420871,1,,2026-03-18,,قناريت - مجمع حجازي السكني,قناريت (Qanaryet),Sidon,South Lebanon,3,0,airstrike,residential complex,preliminary,0,0,article also mentions a warned strike on a pharmaceutical warehouse in Aaqbiyeh w/ no deaths
420876,1,,2026-03-18,dawn,بيروت (غارتان),بيروت (Beirut - two strikes),Beirut,Beirut,6,24,airstrike,unspecified,preliminary,1,0,"combined toll for two unspecified Beirut strikes, body parts recovered pending DNA ID; locations later specified in 420939/420942 as Basta + Zuqaq al-Blat"
420899,1,,2026-03-18,,سحمر,سحمر (Sohmor),West Bekaa,Bekaa,4,0,airstrike,4 homes,preliminary,0,0,"MoPH update 420936 gives a lower count (2) - flag discrepancy; possibly a further, additional Sohmor strike in 420959 later same day"
420918,1,,2026-03-18,,ميفدون,ميفدون (Meifadoun - municipality building),Nabatieh,Nabatieh,1,9,airstrike,municipal council member + medic (explicit dual role),preliminary,0,0,"named: Hazan Mohsen Ayyash; roundup article, also covers Nabatieh Al-Maidan/Arabsalim/Al-Dawir strikes w/ no deaths given here, and references the already-covered Haroof recovery (420805)"
420926,1,,2026-03-18,,برج قلاويه,برج قلاويه (Burj Qalawiyeh),Bint Jbeil,Nabatieh,1,0,drone strike,unspecified,preliminary,0,0,"distinct date from the March 14 Burj Qalawiyeh strikes (419988/419992, batch 5)"
420936,1,,2026-03-18,,سحمر,سحمر (Sohmor),West Bekaa,Bekaa,2,6,airstrike,unspecified,preliminary,0,0,"MoPH update to 420899 - lower count, flag discrepancy"
420939,1,,2026-03-18,dawn,زقاق البلاط,زقاق البلاط (Zuqaq al-Blat),Beirut,Beirut,2,14,airstrike,apartment,preliminary,0,0,one of the two 420876 Beirut strikes; superseded by 420942's combined final
